transaction_id,amount,merchant_category,country,hour_of_day,is_fraud
TXN-0000242,158.32,travel,BRA,9,0
TXN-0000243,203.44,restaurant,UK,22,0
TXN-0000244,234.55,travel,IND,9,0
TXN-0000245,284.01,electronics,BRA,14,0
TXN-0000246,143.73,electronics,UK,13,0
TXN-0000247,205.35,electronics,BRA,22,0
TXN-0000248,19.0,electronics,USA,10,0
TXN-0000249,135.28,travel,UK,10,0
TXN-0000250,14.1,grocery,UK,8,0
TXN-0000251,237.15,electronics,BRA,13,0
TXN-0000252,238.17,grocery,IND,16,0
TXN-0000253,307.26,electronics,USA,20,0
TXN-0000254,249.13,electronics,BRA,14,0
TXN-0000255,157.43,restaurant,BRA,16,0
TXN-0000256,186.42,electronics,USA,8,0
TXN-0000257,304.81,restaurant,BRA,8,0
TXN-0000258,235.95,electronics,BRA,22,0
TXN-0000259,68.02,electronics,BRA,10,0
TXN-0000260,51.41,grocery,USA,16,0
TXN-0000261,325.52,grocery,UK,8,0
TXN-0000262,196.37,electronics,UK,16,0
TXN-0000263,247.58,grocery,UK,8,0
TXN-0000264,100.94,restaurant,USA,18,0
TXN-0000265,74.91,grocery,USA,12,0
TXN-0000266,325.62,restaurant,USA,21,0
TXN-0000267,106.0,electronics,UK,16,0
TXN-0000268,154.91,electronics,UK,17,0
TXN-0000269,239.14,restaurant,UK,9,0
TXN-0000270,214.77,restaurant,BRA,8,0
TXN-0000271,207.58,restaurant,USA,21,0
TXN-0000272,121.09,grocery,IND,10,0
TXN-0000273,205.7,grocery,BRA,9,0
TXN-0000274,196.65,restaurant,USA,22,0
TXN-0000275,48.68,electronics,USA,9,0
TXN-0000276,171.62,restaurant,UK,9,0
TXN-0000277,297.9,restaurant,UK,17,0
TXN-0000278,306.4,travel,BRA,15,0
TXN-0000279,160.17,electronics,IND,8,0
TXN-0000280,212.4,travel,IND,15,0
TXN-0000281,206.0,grocery,USA,16,0
TXN-0000282,237.42,grocery,UK,12,0
TXN-0000283,113.72,grocery,USA,9,0
TXN-0000284,255.04,electronics,UK,19,0
TXN-0000285,137.78,electronics,USA,10,0
TXN-0000286,117.03,travel,IND,12,0
TXN-0000287,189.76,grocery,USA,15,0
TXN-0000288,307.6,grocery,IND,8,0
TXN-0000289,160.64,restaurant,IND,16,0
TXN-0000290,238.01,grocery,IND,20,0
TXN-0000291,145.43,electronics,USA,13,0
TXN-0000292,387.35,electronics,BRA,8,0
TXN-0000293,315.53,restaurant,USA,8,0
TXN-0000294,221.76,grocery,UK,17,0
TXN-0000295,248.22,electronics,USA,19,0
TXN-0000296,213.3,restaurant,BRA,8,0
TXN-0000297,111.68,restaurant,UK,16,0
TXN-0000298,223.31,grocery,UK,22,0
TXN-0000299,127.21,travel,UK,19,0
TXN-0000300,279.33,electronics,IND,20,0
TXN-0000301,44.53,restaurant,IND,14,0
TXN-0000302,353.49,restaurant,UK,14,0
TXN-0000303,95.54,grocery,UK,15,0
TXN-0000304,193.6,travel,IND,15,0
TXN-0000305,281.93,grocery,UK,19,0
TXN-0000306,318.93,electronics,BRA,15,0
TXN-0000307,242.63,electronics,BRA,19,0
TXN-0000308,95.32,electronics,UK,21,0
TXN-0000309,140.76,travel,BRA,12,0
TXN-0000310,169.64,travel,USA,11,0
TXN-0000311,197.94,travel,BRA,16,0
TXN-0000312,361.63,grocery,IND,21,0
TXN-0000313,306.55,restaurant,IND,10,0
TXN-0000314,89.81,electronics,UK,12,0
TXN-0000315,198.28,grocery,UK,21,0
TXN-0000316,288.59,restaurant,BRA,8,0
TXN-0000317,299.81,grocery,UK,15,0
TXN-0000318,129.98,travel,BRA,17,0
TXN-0000319,225.12,travel,BRA,9,0
TXN-0000320,89.78,grocery,BRA,16,0
TXN-0000321,255.81,restaurant,BRA,19,0
TXN-0000322,157.17,grocery,BRA,16,0
TXN-0000323,33.83,restaurant,IND,19,0
TXN-0000324,238.82,grocery,BRA,13,0
TXN-0000325,99.29,travel,UK,11,0
TXN-0000326,233.76,grocery,UK,18,0
TXN-0000327,334.59,travel,BRA,18,0
TXN-0000328,202.16,restaurant,IND,11,0
TXN-0000329,293.54,electronics,BRA,12,0
TXN-0000330,276.13,grocery,UK,12,0
TXN-0000331,304.83,electronics,BRA,18,0
TXN-0000332,200.0,grocery,IND,19,0
TXN-0000333,162.36,travel,IND,18,0
TXN-0000334,272.6,grocery,BRA,11,0
TXN-0000335,219.5,grocery,BRA,8,0
TXN-0000336,170.68,travel,UK,8,0
TXN-0000337,46.86,electronics,UK,16,0
TXN-0000338,62.73,travel,BRA,19,0
TXN-0000339,222.98,restaurant,BRA,13,0
TXN-0000340,218.07,electronics,USA,18,0
TXN-0000341,298.94,restaurant,BRA,18,0
TXN-0000342,355.17,travel,UK,8,0
TXN-0000343,192.92,restaurant,UK,8,0
TXN-0000344,196.86,travel,USA,20,0
TXN-0000345,285.84,electronics,UK,15,0
TXN-0000346,235.62,travel,USA,8,0
TXN-0000347,220.95,restaurant,UK,21,0
TXN-0000348,196.58,travel,USA,9,0
TXN-0000349,289.11,electronics,UK,11,0
TXN-0000350,300.53,electronics,UK,11,0
TXN-0000351,414.21,travel,USA,21,0
TXN-0000352,108.81,travel,BRA,16,0
TXN-0000353,329.15,travel,IND,21,0
TXN-0000354,168.12,electronics,BRA,9,0
TXN-0000355,354.46,travel,UK,16,0
TXN-0000356,129.51,electronics,USA,9,0
TXN-0000357,317.88,grocery,BRA,10,0
TXN-0000358,264.16,grocery,IND,13,0
TXN-0000359,278.58,electronics,USA,18,0
TXN-0000360,257.79,grocery,USA,13,0
TXN-0000361,395.05,grocery,USA,16,0
TXN-0000362,247.91,restaurant,UK,16,0
TXN-0000363,277.2,electronics,BRA,21,0
TXN-0000364,95.26,grocery,IND,19,0
TXN-0000365,231.61,restaurant,USA,21,0
TXN-0000366,91.92,grocery,USA,16,0
TXN-0000367,161.74,grocery,UK,21,0
TXN-0000368,311.29,travel,UK,8,0
TXN-0000369,184.47,travel,USA,17,0
TXN-0000370,41.39,grocery,IND,14,0
TXN-0000371,178.2,restaurant,UK,21,0
TXN-0000372,213.2,travel,USA,9,0
TXN-0000373,264.56,restaurant,UK,10,0
TXN-0000374,278.81,grocery,USA,15,0
TXN-0000375,138.87,travel,BRA,22,0
TXN-0000376,197.17,grocery,BRA,16,0
TXN-0000377,183.38,restaurant,USA,13,0
TXN-0000378,277.99,restaurant,IND,15,0
TXN-0000379,130.0,travel,BRA,13,0
TXN-0000380,124.64,travel,BRA,10,0
TXN-0000381,76.75,grocery,UK,10,0
TXN-0000382,122.13,grocery,UK,20,0
TXN-0000383,183.78,travel,IND,8,0
TXN-0000384,217.43,travel,BRA,16,0
TXN-0000385,47.15,electronics,USA,18,0
TXN-0000386,128.56,restaurant,UK,17,0
TXN-0000387,245.15,travel,USA,15,0
TXN-0000388,220.81,electronics,IND,14,0
TXN-0000389,184.99,electronics,UK,17,0
TXN-0000390,378.98,restaurant,USA,17,0
TXN-0000391,130.45,restaurant,USA,8,0
TXN-0000392,59.5,restaurant,IND,22,0
TXN-0000393,29.31,electronics,BRA,20,0
TXN-0000394,405.38,grocery,UK,16,0
TXN-0000395,249.8,restaurant,UK,20,0
TXN-0000396,184.27,grocery,USA,13,0
TXN-0000397,23.57,electronics,BRA,12,0
TXN-0000398,147.54,restaurant,UK,14,0
TXN-0000399,266.51,electronics,BRA,22,0
TXN-0000400,173.34,travel,UK,14,0
TXN-0000401,122.06,electronics,IND,15,0
TXN-0000402,91.54,grocery,USA,22,0
TXN-0000403,267.67,grocery,IND,21,0
TXN-0000404,108.29,electronics,USA,20,0
TXN-0000405,392.98,grocery,USA,15,0
TXN-0000406,118.08,restaurant,USA,19,0
TXN-0000407,244.57,travel,BRA,15,0
TXN-0000408,245.14,grocery,UK,22,0
TXN-0000409,335.7,grocery,USA,20,0
TXN-0000410,107.67,travel,BRA,18,0
TXN-0000411,127.71,grocery,USA,15,0
TXN-0000412,276.19,travel,USA,18,0
TXN-0000413,46.94,electronics,USA,16,0
TXN-0000414,151.54,electronics,BRA,12,0
TXN-0000415,117.09,travel,USA,16,0
TXN-0000416,128.03,restaurant,UK,20,0
TXN-0000417,93.5,grocery,UK,13,0
TXN-0000418,229.14,electronics,USA,20,0
TXN-0000419,158.47,restaurant,IND,10,0
TXN-0000420,72.34,restaurant,USA,10,0
TXN-0000421,317.02,grocery,BRA,17,0
TXN-0000422,297.59,travel,BRA,22,0
TXN-0000423,205.63,electronics,UK,21,0
TXN-0000424,172.71,restaurant,IND,22,0
TXN-0000425,125.72,travel,USA,11,0
TXN-0000426,159.32,restaurant,USA,12,0
TXN-0000427,174.43,restaurant,UK,12,0
TXN-0000428,241.33,restaurant,BRA,14,0
TXN-0000429,245.82,restaurant,UK,9,0
TXN-0000430,108.88,electronics,USA,8,0
TXN-0000431,342.85,electronics,UK,12,0
TXN-0000432,74.87,electronics,IND,9,0
TXN-0000433,200.27,grocery,BRA,13,0
TXN-0000434,303.35,electronics,UK,16,0
TXN-0000435,251.43,electronics,USA,13,0
TXN-0000436,166.34,restaurant,USA,12,0
TXN-0000437,0.31,restaurant,USA,8,0
TXN-0000438,300.6,travel,BRA,12,0
TXN-0000439,173.95,restaurant,USA,20,0
TXN-0000440,131.81,grocery,BRA,16,0
TXN-0000441,214.83,travel,IND,12,0
TXN-0000442,309.24,grocery,BRA,20,0
TXN-0000443,198.44,restaurant,BRA,8,0
TXN-0000444,248.85,electronics,BRA,10,0
TXN-0000445,66.24,electronics,IND,8,0
TXN-0000446,292.59,electronics,BRA,18,0
TXN-0000447,311.58,travel,USA,13,0
TXN-0000448,249.11,restaurant,USA,14,0
TXN-0000449,262.83,grocery,IND,11,0
TXN-0000450,56.34,travel,USA,17,0
TXN-0000451,230.93,travel,BRA,15,0
TXN-0000452,169.79,restaurant,IND,13,0
TXN-0000453,202.73,travel,UK,15,0
TXN-0000454,154.95,travel,IND,9,0
TXN-0000455,233.81,grocery,BRA,20,0
TXN-0000456,250.72,grocery,UK,10,0
TXN-0000457,263.49,restaurant,BRA,15,0
TXN-0000458,422.66,grocery,USA,11,0
TXN-0000459,318.56,travel,USA,21,0
TXN-0000460,225.2,electronics,UK,15,0
TXN-0000461,212.81,restaurant,IND,21,0
TXN-0000462,218.83,travel,USA,8,0
TXN-0000463,207.64,travel,BRA,15,0
TXN-0000464,183.58,travel,USA,10,0
TXN-0000465,387.38,electronics,USA,18,0
TXN-0000466,175.26,restaurant,USA,15,0
TXN-0000467,109.02,travel,IND,22,0
TXN-0000468,340.85,travel,UK,11,0
TXN-0000469,268.49,electronics,USA,8,0
TXN-0000470,305.7,electronics,USA,10,0
TXN-0000471,155.97,grocery,USA,10,0
TXN-0000472,31.7,grocery,IND,15,0
TXN-0000473,95.95,grocery,BRA,13,0
TXN-0000474,286.08,electronics,UK,16,0
TXN-0000475,140.18,grocery,IND,16,0
TXN-0000476,201.52,electronics,UK,19,0
TXN-0000477,248.81,travel,UK,22,0
TXN-0000478,164.96,restaurant,BRA,15,0
TXN-0000479,20.7,grocery,UK,8,0
TXN-0000480,81.21,electronics,BRA,12,0
TXN-0000481,114.25,restaurant,IND,13,0
TXN-0000482,222.87,restaurant,IND,15,0
TXN-0000483,229.4,electronics,BRA,8,0
TXN-0000484,302.66,travel,UK,12,0
TXN-0000485,173.19,grocery,BRA,8,0
TXN-0000486,179.49,grocery,UK,12,0
TXN-0000487,316.49,electronics,USA,14,0
TXN-0000488,321.17,restaurant,UK,20,0
TXN-0000489,292.27,grocery,BRA,17,0
TXN-0000490,187.83,electronics,BRA,12,0
TXN-0000491,388.81,electronics,IND,22,0
TXN-0000492,336.34,restaurant,UK,12,0
TXN-0000493,232.67,electronics,BRA,14,0
TXN-0000494,97.01,travel,USA,19,0
TXN-0000495,108.92,restaurant,USA,13,0
TXN-0000496,98.7,restaurant,UK,9,0
TXN-0000497,226.03,travel,USA,13,0
TXN-0000498,278.16,restaurant,IND,13,0
TXN-0000499,85.98,electronics,USA,14,0
TXN-0000500,416.89,grocery,USA,10,0
TXN-0000501,202.48,electronics,USA,12,0
TXN-0000502,208.67,electronics,IND,19,0
TXN-0000503,122.34,travel,BRA,11,0
TXN-0000504,205.55,electronics,UK,12,0
TXN-0000505,145.75,restaurant,IND,17,0
TXN-0000506,239.29,electronics,UK,21,0
TXN-0000507,182.67,travel,UK,20,0
TXN-0000508,180.72,electronics,UK,21,0
TXN-0000509,52.61,restaurant,USA,11,0
TXN-0000510,411.72,electronics,USA,13,0
TXN-0000511,252.41,grocery,IND,12,0
TXN-0000512,165.76,travel,UK,14,0
TXN-0000513,151.89,restaurant,UK,15,0
TXN-0000514,109.25,grocery,USA,8,0
TXN-0000515,359.05,travel,IND,22,0
TXN-0000516,108.98,electronics,UK,17,0
TXN-0000517,113.09,grocery,BRA,22,0
TXN-0000518,5.56,travel,USA,22,0
TXN-0000519,194.3,grocery,UK,10,0
TXN-0000520,112.72,travel,USA,15,0
TXN-0000521,184.62,restaurant,IND,19,0
TXN-0000522,96.18,grocery,BRA,17,0
TXN-0000523,277.27,travel,BRA,17,0
TXN-0000524,161.57,restaurant,BRA,19,0
TXN-0000525,166.99,restaurant,BRA,8,0
TXN-0000526,215.49,restaurant,IND,16,0
TXN-0000527,272.98,electronics,IND,19,0
TXN-0000528,167.19,travel,UK,15,0
TXN-0000529,230.87,electronics,UK,14,0
TXN-0000530,290.4,electronics,UK,13,0
TXN-0000531,250.3,grocery,UK,19,0
TXN-0000532,180.17,travel,BRA,16,0
TXN-0000533,404.68,grocery,USA,17,0
TXN-0000534,194.96,travel,UK,12,0
TXN-0000535,215.82,restaurant,USA,16,0
TXN-0000536,141.67,grocery,USA,9,0
TXN-0000537,73.94,restaurant,UK,12,0
TXN-0000538,39.69,electronics,IND,20,0
TXN-0000539,246.3,electronics,UK,21,0
TXN-0000540,286.28,grocery,BRA,9,0
TXN-0000541,122.18,travel,USA,9,0
TXN-0000542,221.04,grocery,USA,15,0
TXN-0000543,245.4,grocery,BRA,13,0
TXN-0000544,205.4,electronics,BRA,18,0
TXN-0000545,28.91,restaurant,BRA,22,0
TXN-0000546,246.44,electronics,IND,15,0
TXN-0000547,47.03,grocery,IND,10,0
TXN-0000548,221.5,electronics,USA,8,0
TXN-0000549,8.57,restaurant,UK,15,0
TXN-0000550,76.99,travel,BRA,19,0
TXN-0000551,281.01,electronics,USA,15,0
TXN-0000552,349.97,grocery,USA,19,0
TXN-0000553,242.83,restaurant,IND,17,0
TXN-0000554,105.52,restaurant,USA,16,0
TXN-0000555,332.54,travel,BRA,11,0
TXN-0000556,84.11,grocery,IND,22,0
TXN-0000557,274.22,restaurant,USA,20,0
TXN-0000558,184.9,electronics,BRA,13,0
TXN-0000559,195.65,restaurant,UK,12,0
TXN-0000560,178.11,grocery,UK,11,0
TXN-0000561,200.16,travel,UK,18,0
TXN-0000562,273.33,grocery,BRA,21,0
TXN-0000563,104.5,restaurant,USA,22,0
TXN-0000564,127.04,travel,USA,21,0
TXN-0000565,288.25,grocery,IND,20,0
TXN-0000566,311.53,restaurant,IND,10,0
TXN-0000567,742.07,electronics,UA,1,1
TXN-0000568,173.21,grocery,BRA,8,0
TXN-0000569,95.14,restaurant,BRA,16,0
TXN-0000570,170.71,grocery,IND,21,0
TXN-0000571,283.35,restaurant,BRA,16,0
TXN-0000572,325.31,travel,USA,15,0
TXN-0000573,102.09,travel,IND,8,0
TXN-0000574,279.8,travel,IND,10,0
TXN-0000575,44.17,grocery,BRA,12,0
TXN-0000576,105.71,grocery,BRA,20,0
TXN-0000577,204.09,restaurant,IND,18,0
TXN-0000578,237.2,travel,USA,8,0
TXN-0000579,220.87,electronics,IND,21,0
TXN-0000580,165.65,grocery,IND,16,0
TXN-0000581,242.02,grocery,IND,17,0
TXN-0000582,84.77,electronics,UK,14,0
TXN-0000583,262.48,grocery,UK,12,0
TXN-0000584,294.59,electronics,UK,15,0
TXN-0000585,82.71,travel,IND,11,0
TXN-0000586,314.3,grocery,USA,14,0
TXN-0000587,173.61,grocery,IND,10,0
TXN-0000588,238.51,travel,UK,11,0
TXN-0000589,181.04,travel,USA,17,0
TXN-0000590,193.13,travel,UK,8,0
TXN-0000591,184.19,travel,USA,14,0
TXN-0000592,141.89,restaurant,BRA,18,0
TXN-0000593,200.96,grocery,BRA,17,0
TXN-0000594,131.04,grocery,BRA,15,0
TXN-0000595,227.07,electronics,UK,8,0
TXN-0000596,326.26,travel,BRA,12,0
TXN-0000597,165.94,restaurant,UK,19,0
TXN-0000598,264.15,electronics,UK,14,0
